ID;X_COORD;Y_COORD;P9303;Q9303;P93;G0;CT9303;CI9303;CC9303;WP9303;WQ9303;WP93;WG0;WCT9303;WCI9303;WCC9303
110001;-64,521120;-9,420980;-0,049230;0,881090;8,298300;0,000000;1,908260;1,146580;1,206000;0,263232;0,852888;3,794100;0,408857;1,615270;-0,816760;1,638733
110002;-63,839540;-11,677880;0,058430;0,147700;4,644300;0,440330;1,712180;2,030360;-0,165410;0,080235;0,146247;3,536540;0,543725;2,490628;0,808605;2,092862
110003;-62,616670;-9,533850;0,206590;0,195010;2,537500;0,694220;1,664180;-1,384650;1,661570;0,118607;1,074995;3,957900;0,371618;1,153250;0,718207;1,023010
110004;-62,544250;-10,542850;0,074700;-0,626550;3,102700;0,626100;2,206040;-0,294030;1,975240;0,073828;0,420237;2,647440;0,546053;2,077838;1,654180;1,326228
110005;-62,787330;-11,668000;0,156980;0,365930;1,819700;0,780710;3,084140;1,646860;2,734210;0,090540;-0,171443;2,893860;0,611507;2,227430;0,823780;1,421943
110006;-61,664750;-12,083730;0,138490;-0,035480;1,924500;0,768090;2,764070;0,735010;2,456000;0,111597;0,299900;2,827640;0,648203;1,938112;2,252978;1,479310
110007;-60,725960;-12,123640;0,179810;1,165030;2,311200;0,721490;1,824560;2,522710;1,779450;0,111403;0,476885;2,496980;0,663208;1,291577;2,203438;1,131737
110008;-61,223640;-13,078360;0,267950;-0,219880;2,260300;0,727620;1,467550;1,861050;2,487370;0,141920;0,775093;2,386840;0,684577;1,396373;1,241497;1,251343
120001;-73,008680;-8,306430;0,307080;1,368540;6,257300;0,245960;0,136280;-2,058120;2,900690;0,462805;1,985355;5,079700;0,007095;-0,481630;-1,388745;-2,893280
120002;-70,951500;-8,868570;0,461440;2,095430;6,000900;0,276850;-1,061070;-3,593170;-2,370280;0,675872;1,228815;4,471820;0,307600;1,146523;-0,113185;0,365308
120003;-69,650510;-9,718110;0,158980;0,983100;5,441000;0,344330;2,335470;0,574870;3,959190;0,724958;0,838305;4,583800;0,473735;0,968230;-0,262820;-0,458413
120004;-68,007500;-9,973630;0,379590;0,436610;6,202900;0,252520;1,310620;3,976420;-0,128640;0,502276;0,914332;4,839620;0,376494;2,300240;-1,042220;2,294860
120005;-69,302490;-10,655730;0,285540;0,132840;4,457900;0,462800;1,606840;-1,649360;2,647640;0,269285;0,709855;4,780420;0,298425;1,823045;2,275645;1,915275
130001;-65,201530;-0,429700;0,622860;2,266660;12,379600;-0,491820;4,909390;1,470540;0,003660;1,002555;2,558437;5,880060;0,136568;1,132468;1,240163;1,464318
130002;-66,905120;-1,871920;0,941340;3,652630;11,461200;-0,381140;2,154150;1,319300;-0,270050;0,604213;2,617373;10,059080;-0,199560;2,451108;0,737528;-1,081280
130003;-69,534490;-4,572930;0,737070;3,241630;9,498700;-0,144650;4,636190;-0,328280;-4,194610;0,587697;2,714983;7,754380;-0,281603;0,525893;0,608960;-1,519940
130004;-67,591510;-5,455600;0,464170;1,875280;10,478000;-0,262660;0,097810;0,815680;-3,416280;0,663210;1,982878;7,558520;0,208748;1,447958;-1,928477;-0,146037
130005;-65,522480;-3,920770;0,357580;2,617040;9,966400;-0,201010;-0,674280;-0,308100;-0,873490;0,636950;2,599998;9,255380;-0,115328;2,291076;-0,315074;-0,299556
130006;-63,351420;-3,953970;0,699340;2,344160;7,972700;0,039240;0,933130;2,115950;0,739320;0,553585;2,533283;9,436900;-0,069770;1,728035;-0,744478;0,719280
130007;-60,134950;-3,171280;0,539650;1,698810;6,511000;0,215380;1,180350;2,280050;-1,034080;0,632372;2,436226;9,598780;-0,181736;1,300658;0,693050;-0,181468
130008;-60,022880;-1,466890;0,754820;2,304370;15,965600;-0,923950;0,345030;0,536270;-0,386410;0,755712;1,688448;4,897460;0,096504;1,858912;1,935462;-0,179452
130009;-58,394500;-3,368300;0,567590;2,187670;6,635000;0,200450;1,151240;3,073130;-2,109710;0,526523;1,923023;10,420120;-0,201968;0,463950;0,132613;-0,367672
130010;-58,163170;-3,542960;0,294370;0,610640;11,341300;-0,366700;1,165920;1,444770;-0,896000;0,661110;1,811732;8,263000;0,012102;0,984578;0,463782;0,241432
130011;-68,082820;-8,269750;1,773260;0,688340;6,689220;0,902770;2,016530;0,214830;-1,982370;0,361402;1,455342;6,689220;0,156722;1,263386;-0,744844;0,737566
130012;-64,949490;-7,168420;0,342830;1,886290;6,866300;0,172570;3,634100;-5,498020;5,643840;0,591709;1,702970;6,989120;0,142609;0,679510;0,604389;-0,515666
130013;-60,870280;-6,366020;0,517250;3,078270;6,079300;0,267400;-0,835500;-3,730640;0,845800;0,339333;1,282548;6,999500;0,244789;1,672705;1,321948;0,340805
140001;-62,553890;3,653340;1,216180;0,000000;5,669040;0,944670;-1,119450;-0,827810;-0,776530;1,267595;1,836095;5,669040;0,944745;0,959675;0,216530;4,385850
140002;-60,282500;3,490640;1,209100;0,000000;5,633800;0,944820;0,624860;0,652470;2,173440;1,271135;1,836095;5,633800;0,944670;0,087520;-0,523610;2,910865
140003;-61,626850;0,773390;1,326090;3,672190;5,669040;0,944670;1,294490;-0,219410;6,598260;1,200557;0,986280;5,669040;0,580720;1,325615;0,676005;1,134860
140004;-60,387780;0,024170;1,754090;1,678460;6,936000;0,925210;0,887660;1,408820;3,138870;0,587586;1,842484;6,936000;-0,261678;1,705126;-0,051802;1,510532
150001;-56,982220;-0,411620;-0,060210;0,358560;12,203400;-0,470590;0,810800;-3,491180;2,233150;0,568570;0,893918;7,984340;0,246578;0,969678;2,199636;-0,242040
150002;-54,655220;-1,457190;0,147110;1,168610;5,635500;0,320890;0,266210;1,758600;-0,791520;0,285980;0,627650;7,586520;0,054715;1,307228;0,841943;0,943245
150003;-53,742580;-0,119250;0,214160;-0,251180;5,979800;0,279400;-1,019640;1,399700;-0,388440;0,240090;1,112222;7,110000;0,094076;0,533976;-1,263892;1,775806
150004;-51,049280;-1,955620;0,371810;0,879890;7,618700;0,081900;-0,771790;-3,484030;0,561760;0,375652;1,066576;7,583920;0,271606;0,507038;0,241120;2,260750
150005;-50,423720;-0,792760;0,572090;2,226800;8,794800;-0,059820;-2,107180;-2,748330;0,837080;0,273732;0,622358;8,857240;0,111864;0,439286;1,095810;2,325890
150006;-49,417450;-0,508050;0,493600;0,131080;10,303400;-0,241630;-0,948420;0,447550;1,711530;0,255915;0,646000;10,009600;-0,042008;0,506852;1,467210;2,060335
150007;-48,487010;-1,359020;0,249980;0,198180;12,572800;-0,515100;1,856600;3,010700;3,801650;0,324927;0,570348;9,417620;-0,039993;-0,048655;1,313015;0,489767
150008;-48,055620;-1,411560;0,231510;1,049370;10,426100;-0,256410;-0,366000;-1,351470;0,603960;0,217728;0,302728;9,138060;-0,124595;-0,090582;0,876412;0,381498
150009;-47,743110;-0,835180;0,163550;0,314720;7,780100;0,062450;0,216200;-0,198980;0,437420;0,238163;0,346060;9,633100;-0,104173;-0,555270;-0,738787;0,822260
150010;-47,089210;-1,122090;-0,010620;-0,142270;6,758900;0,185520;-0,351390;-1,312440;0,151290;0,193530;0,593673;8,342040;-0,056857;0,237090;-0,245903;0,521457
150011;-49,330520;-2,597150;0,350270;0,203210;3,317100;0,600270;3,297350;3,657080;3,979470;0,423610;1,036463;8,898120;-0,038149;-0,037589;-0,047473;1,320484
150012;-48,757150;-2,440680;0,224330;0,897730;10,474200;-0,262200;-2,177550;2,498900;-4,335890;0,302780;0,729818;8,946800;0,049200;1,528946;1,119798;2,274790
150013;-47,539470;-2,271840;0,185530;0,416930;8,104300;0,023390;0,861070;0,812740;0,522990;0,208943;0,719148;9,322740;0,079538;1,002593;0,169185;0,544858
150014;-56,547110;-6,378180;0,433120;1,263060;7,683500;0,074090;3,548240;4,986290;-2,273110;0,338159;1,156534;4,004520;0,244581;0,710759;-0,538184;1,091009
150015;-54,267510;-6,068870;0,556850;1,140160;5,510400;0,335960;1,889510;0,472960;4,201380;0,422346;0,998064;6,107240;0,356879;1,248595;2,481080;0,903234
150016;-49,957860;-4,439640;0,496610;1,781400;5,030100;0,393850;1,995710;-0,530060;2,465880;0,345731;0,999200;5,358600;0,133013;1,071846;3,838043;1,771626
150017;-48,011190;-3,879520;0,042020;0,458820;10,313700;-0,242870;2,054760;2,939270;3,898550;0,363510;1,091590;6,886340;0,406358;1,528242;0,831444;1,442136
150018;-51,905070;-7,461220;0,881310;1,991600;5,765800;0,305190;1,201740;11,587320;2,032800;0,428480;1,336805;4,807860;0,440961;1,892244;1,705790;2,245083
150019;-50,025170;-6,518810;0,662310;1,724890;4,575000;0,448680;2,974380;3,464760;4,077000;0,538503;1,643603;4,949960;0,373393;1,392373;5,880713;1,944347
150020;-49,769600;-5,568100;0,179810;1,885950;6,876400;0,171350;0,376040;4,898030;2,102080;0,513432;1,228498;3,325320;0,390388;2,161423;4,108853;2,465162
150021;-49,493470;-7,128980;0,554390;1,053260;2,957200;0,643640;2,599340;1,156790;1,698160;0,528928;1,550268;4,047100;0,489822;2,007222;5,312165;1,945263
150022;-50,229200;-8,485160;0,333070;1,474790;4,120300;0,503480;3,285070;2,095630;2,019750;0,597173;1,483402;3,592360;0,535258;1,138632;3,498017;0,646417
160001;-51,980470;2,880240;0,200490;2,106030;6,704300;0,192090;1,102910;1,391890;2,027700;-0,003327;1,263287;7,596960;0,067673;0,156320;2,499847;2,430910
160002;-50,932470;1,571050;-0,162960;1,892250;7,599200;0,084240;-0,150330;2,641090;1,916040;0,084290;0,994875;8,282700;0,054325;0,623525;3,913075;2,365065
160003;-51,474960;1,160100;-0,031910;-0,116280;8,990700;-0,083440;0,144140;6,434260;2,702430;0,257622;1,674010;7,139680;0,035420;-0,325574;0,031278;1,833322
160004;-53,045070;0,619000;0,184890;2,013890;6,620300;0,202220;0,475150;-1,575810;2,674260;0,265328;0,969052;7,613760;0,082026;-0,530312;0,598698;1,148106
170001;-48,066470;-6,087220;0,443950;0,361020;1,710800;0,793840;2,142610;6,035040;0,618580;0,475112;1,330926;5,106000;0,384694;0,973504;2,137764;1,286036
170002;-48,430820;-7,373560;0,673120;1,863360;2,353500;0,716390;2,063490;3,792210;0,821370;0,382850;1,035412;4,529580;0,504448;1,945953;2,847255;1,240218
170003;-49,056520;-8,999710;0,433950;0,798990;2,310300;0,721590;1,473820;3,443280;1,238250;0,455346;1,831188;2,921240;0,637934;1,521564;2,420808;0,961418
170004;-49,667930;-11,252420;0,879850;2,507130;3,373700;0,593450;-1,053560;-0,605970;-1,669460;0,511551;1,230925;3,809300;0,608647;0,911531;1,140281;0,290332
